"ï..internet","netdome","abortion","buyamer","condoms1","deathpen","goodeduc","gun","marijuan","moreinc","politics","pollut","sexmarr","liberal","age","educ","emplmerg","income","sex","citysize"
"1",1,6,6,5,3,1,1,1,1,1,4,1,2,2,56,6,2,NA,2,3
"2",2,1,1,3,1,3,2,2,1,3,1,2,1,3,53,4,1,3,1,1
"3",2,1,6,2,6,6,1,1,6,6,6,6,6,4,56,5,3,NA,1,1
"4",1,1,4,1,2,6,2,1,1,1,2,3,3,3,59,4,4,8,2,3
"5",1,5,6,6,1,6,5,6,1,1,6,2,1,2,69,3,2,15,2,2
"6",1,6,1,6,4,6,NA,6,1,2,2,5,1,3,60,1,1,10,1,3
"7",1,1,1,6,1,6,4,3,1,1,5,5,1,2,77,4,3,4,1,3
"8",1,6,4,6,3,3,4,4,2,1,6,3,1,2,69,4,4,3,2,3
"9",1,4,5,5,1,5,5,1,1,5,2,5,1,3,43,4,4,6,2,2
"10",1,2,1,4,4,1,2,1,4,2,4,5,5,4,58,6,1,12,1,3
"11",1,1,4,6,1,4,1,4,2,1,5,3,1,4,61,3,1,12,1,3
"12",1,4,2,5,3,3,2,1,4,4,1,4,4,3,48,3,4,15,2,4
"13",1,2,1,3,2,3,3,2,2,3,2,4,1,3,80,6,3,NA,1,2
"14",1,6,2,1,3,6,5,5,3,6,6,2,1,2,71,4,2,8,1,4
"15",1,5,2,6,2,4,3,1,1,4,4,4,1,1,71,5,3,10,1,2
"16",1,2,5,6,5,6,1,1,6,2,2,5,4,2,44,4,4,1,1,4
"17",1,1,5,4,3,6,2,4,3,6,3,2,4,3,32,3,1,2,1,3
"18",1,2,2,4,2,5,4,4,1,5,5,3,1,2,22,3,1,4,1,3
"19",1,6,2,5,2,6,6,1,1,1,3,2,1,3,64,2,4,7,2,4
"20",1,3,2,5,2,6,4,1,2,3,4,4,1,2,57,4,2,9,2,3
"21",1,6,6,6,6,6,6,1,4,1,1,4,1,2,63,3,3,2,2,4
"22",1,6,6,5,1,6,5,1,1,1,1,6,3,3,74,3,4,6,2,4
"23",1,5,6,6,6,6,6,1,1,6,5,6,6,2,71,1,3,1,2,3
"24",1,6,4,4,5,6,4,3,6,5,3,4,4,3,32,3,4,4,2,3
"25",1,3,1,5,1,6,6,6,1,6,4,1,1,2,27,4,1,2,1,2
"26",1,2,1,2,1,1,2,2,2,6,1,4,1,1,21,4,4,3,2,4
"27",1,4,2,6,1,3,1,2,1,4,5,3,5,2,60,3,1,12,1,1
"28",1,6,6,3,6,4,3,1,2,6,5,6,2,4,28,5,1,9,1,4
"29",1,3,5,5,1,6,2,1,1,1,4,6,4,3,59,5,2,10,2,4
"30",1,6,1,5,4,4,4,1,1,1,1,4,1,3,58,3,4,10,2,4
"31",1,4,5,4,4,2,3,3,3,5,1,4,4,3,45,3,2,10,2,1
"32",1,3,4,5,2,4,4,4,2,5,4,3,1,3,28,3,1,5,2,1
"33",1,5,1,4,3,5,3,6,3,2,4,2,1,2,24,4,1,2,2,1
"34",2,2,5,3,4,3,3,2,4,3,4,5,2,2,43,6,1,13,2,3
"35",2,1,6,5,1,6,1,1,1,3,5,2,5,2,47,6,1,13,2,2
"36",1,1,1,5,4,5,1,1,2,6,3,2,1,3,54,3,1,13,2,3
"37",1,6,1,5,3,6,5,3,1,5,2,3,1,2,44,2,4,1,2,4
"38",1,1,6,3,5,5,2,1,6,5,2,5,1,4,47,3,2,14,2,3
"39",2,2,1,6,1,3,2,1,1,2,3,2,1,2,60,3,1,3,2,1
"40",1,2,6,4,1,6,6,4,1,4,5,2,1,2,34,3,1,5,1,3
"41",1,2,1,5,1,3,1,1,1,6,1,2,1,2,78,3,3,4,2,3
"42",2,1,1,3,1,5,4,1,1,4,2,4,1,2,44,4,1,NA,2,4
"43",1,6,4,6,4,6,6,4,1,3,1,4,4,3,65,2,3,10,1,4
"44",1,1,6,6,1,6,6,6,6,4,6,6,1,2,51,4,1,8,1,1
"45",1,2,5,4,2,5,5,3,3,2,4,2,1,3,66,6,3,9,1,2
"46",1,3,5,5,1,6,4,2,1,4,2,4,1,2,42,3,1,11,1,2
"47",1,6,6,6,6,6,5,6,1,3,1,5,1,3,70,4,4,6,2,3
"48",2,2,6,3,1,4,2,4,1,3,1,3,1,1,53,6,1,10,1,3
"49",1,4,1,5,5,4,2,4,4,4,6,4,2,2,65,6,2,10,1,1
"50",1,6,4,6,1,6,4,6,1,1,4,1,1,1,77,4,2,6,1,4
"51",1,2,6,3,4,5,4,1,2,4,2,4,4,3,57,6,1,8,1,4
"52",1,3,4,3,4,3,3,3,2,4,2,4,1,3,51,3,2,8,2,4
"53",1,5,5,6,5,5,2,1,1,4,5,4,6,3,43,3,1,3,2,2
"54",1,4,1,5,1,6,5,1,6,6,6,6,1,1,43,3,1,10,1,2
"55",1,5,1,2,1,6,2,1,1,6,1,5,1,1,28,5,1,5,1,1
"56",2,1,1,6,1,6,6,6,1,4,4,5,1,NA,37,4,1,NA,1,1
"57",1,6,6,4,2,4,5,1,1,NA,1,4,6,2,82,2,4,1,2,3
"58",NA,1,5,4,5,6,5,4,4,6,2,4,4,4,21,4,1,5,1,3
"59",1,5,4,5,5,6,4,4,3,4,1,2,2,3,25,3,1,5,1,4
"60",1,6,1,6,3,5,1,3,1,1,4,5,1,2,61,3,1,3,1,1
